id,phase,phase_name,title,status,depends_on
P7-005,7,Production Hardening,Review tenant-isolation controls,backlog,P7-004
P7-006,7,Production Hardening,Review least-privilege IAM policies,backlog,P7-005
P7-007,7,Production Hardening,Review secret inventory,backlog,P7-006
P7-008,7,Production Hardening,Test secret rotation,backlog,P7-007
P7-009,7,Production Hardening,Define retention policy by data type,backlog,P7-008
P7-010,7,Production Hardening,Implement conversation-retention jobs,backlog,P7-009
P7-011,7,Production Hardening,Implement audit-retention behavior,backlog,P7-010
P7-012,7,Production Hardening,Configure vector-store expiration policy where appropriate,backlog,P7-011
P7-013,7,Production Hardening,Test document-deletion completeness,backlog,P7-012
P7-014,7,Production Hardening,Test tenant-offboarding,backlog,P7-013
P7-015,7,Production Hardening,Define service-level indicators,backlog,P7-014
P7-016,7,Production Hardening,Define service-level objectives,backlog,P7-015
P7-017,7,Production Hardening,Configure SLO dashboards,backlog,P7-016
P7-018,7,Production Hardening,Configure SLO alerts,backlog,P7-017
P7-019,7,Production Hardening,Create representative load model,backlog,P7-018
P7-020,7,Production Hardening,Implement API load test,backlog,P7-019
P7-021,7,Production Hardening,Implement widget load test,backlog,P7-020
P7-022,7,Production Hardening,Implement ingestion throughput test,backlog,P7-021
P7-023,7,Production Hardening,Establish performance baseline,backlog,P7-022
P7-024,7,Production Hardening,Tune API worker configuration,backlog,P7-023
P7-025,7,Production Hardening,Tune database connection pools,backlog,P7-024
P7-026,7,Production Hardening,Tune ingestion concurrency,backlog,P7-025
P7-027,7,Production Hardening,Set retrieval result limits,backlog,P7-026
P7-028,7,Production Hardening,Set tenant request-rate limits,backlog,P7-027
P7-029,7,Production Hardening,Set tenant usage quotas,backlog,P7-028
P7-030,7,Production Hardening,Configure edge rate limiting,backlog,P7-029
P7-031,7,Production Hardening,Configure CDN and WAF policies,backlog,P7-030
P7-032,7,Production Hardening,Test OpenAI timeout behavior,backlog,P7-031
P7-033,7,Production Hardening,Test OpenAI rate-limit behavior,backlog,P7-032
P7-034,7,Production Hardening,Test OpenAI outage behavior,backlog,P7-033
P7-035,7,Production Hardening,Test database unavailability,backlog,P7-034
P7-036,7,Production Hardening,Test queue unavailability,backlog,P7-035
P7-037,7,Production Hardening,Test object-storage unavailability,backlog,P7-036
P7-038,7,Production Hardening,Test worker termination during processing,backlog,P7-037
P7-039,7,Production Hardening,Test network interruption during streaming,backlog,P7-038
P7-040,7,Production Hardening,Verify circuit-breaker recovery,backlog,P7-039
P7-041,7,Production Hardening,Define backup scope and schedule,backlog,P7-040
P7-042,7,Production Hardening,Configure database backups,backlog,P7-041
P7-043,7,Production Hardening,Configure infrastructure-state backups,backlog,P7-042
P7-044,7,Production Hardening,Execute database restore test,backlog,P7-043
P7-045,7,Production Hardening,Execute configuration restore test,backlog,P7-044
P7-046,7,Production Hardening,Define recovery-time objective,backlog,P7-045
P7-047,7,Production Hardening,Define recovery-point objective,backlog,P7-046
P7-048,7,Production Hardening,Create disaster-recovery runbook,backlog,P7-047
P7-049,7,Production Hardening,Execute disaster-recovery exercise,backlog,P7-048
P7-050,7,Production Hardening,Expand prompt-injection test suite,backlog,P7-049
P7-051,7,Production Hardening,Add RAG-poisoning scenarios,backlog,P7-050
P7-052,7,Production Hardening,Add data-exfiltration scenarios,backlog,P7-051
P7-053,7,Production Hardening,Add conflicting-policy scenarios,backlog,P7-052
P7-054,7,Production Hardening,Add authorization-boundary fuzz tests,backlog,P7-053
P7-055,7,Production Hardening,Freeze production evaluation dataset version,backlog,P7-054
P7-056,7,Production Hardening,Run candidate model evaluation,backlog,P7-055
P7-057,7,Production Hardening,Run candidate prompt evaluation,backlog,P7-056
P7-058,7,Production Hardening,Approve production model and prompt configuration,backlog,P7-057
P7-059,7,Production Hardening,Conduct accessibility audit,backlog,P7-058
P7-060,7,Production Hardening,Conduct browser compatibility test,backlog,P7-059
P7-061,7,Production Hardening,Conduct external or independent penetration test,backlog,P7-060
P7-062,7,Production Hardening,Remediate critical penetration-test findings,backlog,P7-061
P7-063,7,Production Hardening,Remediate required high-severity findings,backlog,P7-062
P7-064,7,Production Hardening,Review software licenses,backlog,P7-063
P7-065,7,Production Hardening,Generate production SBOM,backlog,P7-064
P7-066,7,Production Hardening,Verify artifact provenance,backlog,P7-065
P7-067,7,Production Hardening,Finalize incident-response plan,backlog,P7-066
P7-068,7,Production Hardening,Run incident-response tabletop exercise,backlog,P7-067
P7-069,7,Production Hardening,Define support escalation path,backlog,P7-068
P7-070,7,Production Hardening,Define pilot tenant criteria,backlog,P7-069
P7-071,7,Production Hardening,Provision pilot tenant,backlog,P7-070
P7-072,7,Production Hardening,Ingest pilot synthetic or approved documents,backlog,P7-071
P7-073,7,Production Hardening,Execute pilot acceptance tests,backlog,P7-072
P7-074,7,Production Hardening,Monitor pilot quality and operations,backlog,P7-073
P7-075,7,Production Hardening,Resolve pilot release blockers,backlog,P7-074
P7-076,7,Production Hardening,Conduct production-readiness review,backlog,P7-075
P7-077,7,Production Hardening,Record go-live decision,backlog,P7-076
P7-078,7,Production Hardening,Deploy approved production release,backlog,P7-077
P7-079,7,Production Hardening,Execute production smoke tests,backlog,P7-078
P7-080,7,Production Hardening,Verify production alerts and dashboards,backlog,P7-079
P7-081,7,Production Hardening,Verify production rollback readiness,backlog,P7-080
P7-082,7,Production Hardening,Conduct post-release review,backlog,P7-081
